
============================
 Flower Shop Server Started
============================
[2023-05-31T13:31:23.826564500] Class: PSK.FlowerShop.service.OrderService, Method: createOrder
[2023-05-31T13:31:23.983473700] Class: org.springframework.data.repository.CrudRepository, Method: save
[2023-05-31T13:31:24.051473500] Class: PSK.FlowerShop.usecase.EmailServiceImpl, Method: sendEmail
[2023-05-31T13:31:29.929362800] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:31:29.929362800] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:31:29.930362600] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:31:29.930362600] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:31:29.932363] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:29.932363] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:38.790867500] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:31:38.791868800] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:31:38.791868800] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:38.797865400] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:31:38.798864700] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:31:38.798864700] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:56.141837800] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:31:56.142837900] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:31:56.142837900] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:31:56.151837400] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:31:56.151837400] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:31:56.153835800] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:32:03.646800500] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:32:03.646800500] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:32:03.647799500] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:32:03.657802800] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:32:03.659803600] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:32:03.659803600] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:34:57.424923400] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:34:57.424923400] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:34:57.425922300] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:01.099610100] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:35:01.100630500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:35:01.101613100] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:01.102611700] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:35:01.102611700] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:35:01.103610700] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:02.204513400] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:35:02.204513400] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:35:02.205513900] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:02.207518100] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:35:02.208519400] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:35:02.208519400] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:07.739638700] Class: PSK.FlowerShop.controller.OrderController, Method: changeOrderStatus
[2023-05-31T13:35:07.740635800] Class: PSK.FlowerShop.service.OrderService, Method: changeOrderStatus
[2023-05-31T13:35:07.740635800] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:07.741635700] Class: org.springframework.data.repository.CrudRepository, Method: save
[2023-05-31T13:35:07.749641300] Class: PSK.FlowerShop.controller.OrderController, Method: getOrderById
[2023-05-31T13:35:07.750637300] Class: PSK.FlowerShop.service.OrderService, Method: getOrderById
[2023-05-31T13:35:07.750637300] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:35:09.872156500] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.873159200] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.873159200] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.874159900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:09.874159900] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.874159900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:09.898158700] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.899157400] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.899157400] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.900158300] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:09.900158300] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.900158300] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:09.913156400] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.914157700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.914157700] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:09.914157700] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:09.914157700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:09.915156200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:21.776613100] Class: PSK.FlowerShop.controller.AdminController, Method: login
[2023-05-31T13:35:21.791760200] Class: PSK.FlowerShop.service.AdminService, Method: findAdminByUsernameAndPassword
[2023-05-31T13:35:21.791760200] Class: PSK.FlowerShop.repository.AdminRepository, Method: findByUsernameAndPassword
[2023-05-31T13:35:22.003745600] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.004735400] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.006736700] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.008736200] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.008736200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:22.008736200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:22.022735500] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.023737800] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.023737800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:22.024735800] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.025733600] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.025733600] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:22.035734800] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.035734800] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:22.035734800] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.036732800] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:22.036732800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:22.036732800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:25.079110500] Class: PSK.FlowerShop.controller.StatisticsController, Method: getStatistics
[2023-05-31T13:35:25.079110500] Class: PSK.FlowerShop.controller.StatisticsController, Method: getStatistics
[2023-05-31T13:35:25.080112100] Class: PSK.FlowerShop.usecase.StatisticCalculator, Method: getStatistics
[2023-05-31T13:35:25.080112100] Class: PSK.FlowerShop.usecase.StatisticCalculator, Method: getStatistics
[2023-05-31T13:35:25.081112] Class: PSK.FlowerShop.service.OrderService, Method: getOrdersByDateRange
[2023-05-31T13:35:25.081112] Class: PSK.FlowerShop.service.OrderService, Method: getOrdersByDateRange
[2023-05-31T13:35:25.081112] Class: PSK.FlowerShop.repository.OrderRepository, Method: findOrdersByDateRange
[2023-05-31T13:35:25.081112] Class: PSK.FlowerShop.repository.OrderRepository, Method: findOrdersByDateRange
[2023-05-31T13:35:28.008627300] Class: PSK.FlowerShop.controller.OrderController, Method: getAllOrders
[2023-05-31T13:35:28.009624900] Class: PSK.FlowerShop.service.OrderService, Method: getAllOrders
[2023-05-31T13:35:28.015626600] Class: PSK.FlowerShop.controller.OrderController, Method: getAllOrders
[2023-05-31T13:35:28.015626600] Class: PSK.FlowerShop.service.OrderService, Method: getAllOrders
[2023-05-31T13:35:29.481289900] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:29.481289900] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:29.482290600] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:29.485292300] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:29.486291500] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:29.486291500] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.696173500] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.696173500] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.697173900] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.697173900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.698175500] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.698175500] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.713173100] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.714176600] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.715173200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.716172500] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.716172500] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.717172400] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.731174400] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.731174400] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.732173800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:35:33.735173800] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:35:33.736175200] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:35:33.736175200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:42:29.861316500] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:42:29.864315900] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:42:29.865318700] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:42:29.935316300] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:42:29.936316900] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:42:29.936316900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:42:29.952317200] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:42:29.953315700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:42:29.953315700] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
